STATE,ADJ
AL,MS
AL,TN
AL,GA
AL,FL
AR,MO
AR,TN
AR,MS
AR,LA
AR,TX
AR,OK
AZ,CA
AZ,NV
AZ,UT
AZ,CO
AZ,NM
CA,OR
CA,NV
CA,AZ
CO,WY
CO,NE
CO,KS
CO,OK
CO,NM
CO,AZ
CO,UT
CT,NY
CT,MA
CT,RI
DC,MD
DC,VA
DE,MD
DE,PA
DE,NJ
FL,AL
FL,GA
GA,FL
GA,AL
GA,TN
GA,NC
GA,SC
IA,MN
IA,WI
IA,IL
IA,MO
IA,NE
IA,SD
ID,MT
ID,WY
ID,UT
ID,NV
ID,OR
ID,WA
IL,IN
IL,KY
IL,MO
IL,IA
IL,WI
IN,MI
IN,OH
IN,KY
IN,IL
KS,NE
KS,MO
KS,OK
KS,CO
KY,IN
KY,OH
KY,WV
KY,VA
KY,TN
KY,MO
KY,IL
LA,TX
LA,AR
LA,MS
MA,RI
MA,CT
MA,NY
MA,NH
MA,VT
MD,VA
MD,WV
MD,PA
MD,DC
MD,DE
ME,NH
MI,WI
MI,IN
MI,OH
MN,WI
MN,IA
MN,SD
MN,ND
MO,IA
MO,IL
MO,KY
MO,TN
MO,AR
MO,OK
MO,KS
MO,NE
MS,LA
MS,AR
MS,TN
MS,AL
MT,ND
MT,SD
MT,WY
MT,ID
NC,VA
NC,TN
NC,GA
NC,SC
ND,MN
ND,SD
ND,MT
NE,SD
NE,IA
NE,MO
NE,KS
NE,CO
NE,WY
NH,VT
NH,ME
NH,MA
NJ,DE
NJ,PA
NJ,NY
NM,AZ
NM,UT
NM,CO
NM,OK
NM,TX
NV,ID
NV,UT
NV,AZ
NV,CA
NV,OR
NY,NJ
NY,PA
NY,VT
NY,MA
NY,CT
OH,PA
OH,WV
OH,KY
OH,IN
OH,MI
OK,KS
OK,MO
OK,AR
OK,TX
OK,NM
OK,CO
OR,CA
OR,NV
OR,ID
OR,WA
PA,NY
PA,NJ
PA,DE
PA,MD
PA,WV
PA,OH
RI,CT
RI,MA
SC,GA
SC,NC
SD,ND
SD,MN
SD,IA
SD,NE
SD,WY
SD,MT
TN,KY
TN,VA
TN,NC
TN,GA
TN,AL
TN,MS
TN,AR
TN,MO
TX,NM
TX,OK
TX,AR
TX,LA
UT,ID
UT,WY
UT,CO
UT,NM
UT,AZ
UT,NV
VA,NC
VA,TN
VA,KY
VA,WV
VA,MD
VA,DC
VT,NY
VT,NH
VT,MA
WA,ID
WA,OR
WI,MI
WI,MN
WI,IA
WI,IL
WV,OH
WV,PA
WV,MD
WV,VA
WV,KY
WY,MT
WY,SD
WY,NE
WY,CO
WY,UT
WY,ID
